hmm name,conveted_smiles
butirosinA_4_butirosinB_4_butirosin_4,{N:32}{C:11}{C:10}1{O:9}{C:8}({O:7}{C:6}2{C:4}({N:5}){C:3}{C:2}({N:1}{C:33}(={O:44}){C:34}({O:45}){C:35}{C:36}{N:37}{C:38}(={O:48}){C:39}{C:40}{C:41}({N:47}){C:42}({O:43})={O:46}){C:30}({O:31}){C:19}2{O:20}{C:21}2{O:22}{C:23}({C:24}{O:25}){C:26}({O:27}){C:28}2{O:29}){C:17}({N:18}){C:15}({O:16}){C:13}1{O:14}>>{N:37}{C:36}{C:35}{C:34}({O:45}){C:33}(={O:44}){N:1}{C:2}1{C:3}{C:4}({N:5}){C:6}({O:7}{C:8}2{O:9}{C:10}({C:11}{N:32}){C:13}({O:14}){C:15}({O:16}){C:17}2{N:18}){C:19}({O:20}{C:21}2{O:22}{C:23}({C:24}{O:25}){C:26}({O:27}){C:28}2{O:29}){C:30}1{O:31}
fortimicin_2,{N:24}{C:15}1{C:16}({O:21}){C:17}({O:22}){C:18}({N:23}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:7}{O:8}){C:1}({O:9}){C:2}({O:10}){C:3}2{N:11}){C:14}1{O:19}>>{C:25}{N:24}{C:15}1{C:16}({O:21}){C:17}({O:22}){C:18}({N:23}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:7}{O:8}){C:1}({O:9}){C:2}({O:10}){C:3}2{N:11}){C:14}1{O:19}
fortimicin_6,{C:25}{N:24}{C:15}1{C:16}({O:21}){C:17}({O:22}){C:18}({N:23}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:1}{C:2}{C:3}2{N:11}){C:7}({C:27}){N:26}){C:14}1{O:19}>>{C:25}{N:24}{C:15}1{C:14}({O:19}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:1}{C:2}{C:3}2{N:11}){C:7}({C:27}){N:26}){C:18}({N:23}){C:17}({O:22}){C:16}1{O:21}{C:28}
fortimicin_7,{C:25}{N:24}{C:15}1{C:14}({O:19}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:1}{C:2}{C:3}2{N:11}){C:7}({C:27}){N:26}){C:18}({N:23}){C:17}({O:22}){C:16}1{O:21}{C:28}>>{C:28}{O:21}{C:16}1{C:17}({O:22}){C:18}({N:23}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:1}{C:2}{C:3}2{N:11}){C:7}({C:27}){N:26}){C:14}({O:19}){C:15}1{N:24}({C:25}){C:29}(={O:31}){C:30}{N:32}
butirosin_2_neomycin_BGC709_3_ribostamycin_3_sisomicin_5_tobramycin_BGC719_2_tobramycin_BGC720_2_tobramycin_BGC721_2,{N:1}{C:2}1{C:3}{C:4}({N:5}){C:6}({O:7}{C:8}2{O:9}{C:10}({C:11}{O:12}){C:13}({O:14}){C:15}({N:16}){C:17}2{O:18}){C:19}({O:20}){C:21}1{O:22}{C:23}1{O:24}{C:25}({C:26}={O:27}){C:28}({O:29}){C:30}({O:31}){C:32}1{N:33}>>{N:34}{C:26}{C:25}1{O:24}{C:23}({O:22}{C:21}2{C:2}({N:1}){C:3}{C:4}({N:5}){C:6}({O:7}{C:8}3{O:9}{C:10}({C:11}{O:12}){C:13}({O:14}){C:15}({N:16}){C:17}3{O:18}){C:19}2{O:20}){C:32}({N:33}){C:30}({O:31}){C:28}1{O:29}
fortimicin_3_gentamicinC_BGC696_1__1_gentamicinC_BGC696_5_gentamicinC_BGC696_7_kanamycinA_B_D_BGC702_1__2a__kanamycinA_B_D_BGC704_1__2_sisomicin_1,{N:20}{C:16}1{C:17}{C:18}({N:19}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:7}{O:8}){C:1}({O:9}){C:2}({O:10}){C:3}2{N:11}){C:14}({O:21}){C:15}1{O:22}{C:23}1{O:28}{C:27}{C:26}({O:31}){C:25}({O:30}){C:24}1{O:29}>>{N:20}{C:16}1{C:17}{C:18}({N:19}){C:13}({O:12}{C:4}2{O:5}{C:6}({C:7}{O:8}){C:1}({O:9}){C:2}({O:10}){C:3}2{N:11}){C:14}({O:21}){C:15}1{O:22}{C:23}1{O:28}{C:27}{C:26}({O:31}){C:25}({N:32}){C:24}1{O:29}
gentamicinC_1_BGC696__2a_gentamicinC_BGC696_3a,{C:33}{N:32}{C:5}1{C:6}({O:7}){C:1}({O:10}{C:11}2{C:12}({N:18}){C:13}{C:14}({N:19}){C:15}({O:20}{C:21}3{O:22}{C:23}({C:30}({C:35}){N:36}){C:24}({O:29}){C:25}({O:28}){C:26}3{N:27}){C:16}2{O:17}){O:2}{C:3}{C:4}1({C:34}){O:9}>>{C:37}{N:36}{C:30}({C:35}){C:23}1{C:24}{C:25}{C:26}({N:27}){C:21}({O:20}{C:15}2{C:14}({N:19}){C:13}{C:12}({N:18}){C:11}({O:10}{C:1}3{O:2}{C:3}{C:4}({C:34})({O:9}){C:5}({N:32}{C:33}){C:6}3{O:7}){C:16}2{O:17}){O:22}1
gentamicinC_1_BGC696__2b_gentamicinC_BGC696_3b_gentamicin_BGC1603_3,{C:33}{N:32}{C:5}1{C:6}({O:7}){C:1}({O:10}{C:11}2{C:12}({N:18}){C:13}{C:14}({N:19}){C:15}({O:20}{C:21}3{O:22}{C:23}({C:30}({C:35}){N:36}){C:24}({O:29}){C:25}({O:28}){C:26}3{N:27}){C:16}2{O:17}){O:2}{C:3}{C:4}1({C:34}){O:9}>>{C:37}{N:36}{C:30}({C:35}){C:23}1{C:24}{C:25}{C:26}({N:27}){C:21}({O:20}{C:15}2{C:14}({N:19}){C:13}{C:12}({N:18}){C:11}({O:10}{C:1}3{O:2}{C:3}{C:4}({C:34})({O:9}){C:5}({N:32}{C:33}){C:6}3{O:7}){C:16}2{O:17}){O:22}1
apramycin_6__2_gentamicinC_BGC696_6a_gentamicin_BGC1603_4,{C:33}{N:32}{C:28}1{C:26}({O:27}){C:25}{O:24}{C:23}({O:22}{C:21}2{C:2}({N:1}){C:3}{C:4}({N:5}){C:6}({O:7}{C:8}3{O:9}{C:10}({C:11}{O:12}){C:13}({O:14}){C:15}({O:16}){C:17}3{N:18}){C:19}2{O:20}){C:30}1{O:31}>>{C:33}{N:32}{C:28}1{C:30}({O:31}){C:23}({O:22}{C:21}2{C:2}({N:1}){C:3}{C:4}({N:5}){C:6}({O:7}{C:8}3{O:9}{C:10}({C:11}{O:12}){C:13}({O:14}){C:15}({O:16}){C:17}3{N:18}){C:19}2{O:20}){O:24}{C:25}{C:26}1({C:34}){O:27}
gentamicinC_BGC696_4,{C:33}{N:32}{C:5}1{C:6}({O:7}){C:1}({O:10}{C:11}2{C:12}({N:18}){C:13}{C:14}({N:19}){C:15}({O:20}{C:21}3{O:22}{C:23}({C:30}{O:31}){C:24}({O:29}){C:25}({O:28}){C:26}3{N:27}){C:16}2{O:17}){O:2}{C:3}{C:4}1({C:34}){O:9}>>{C:33}{N:32}{C:5}1{C:6}({O:7}){C:1}({O:10}{C:11}2{C:12}({N:18}){C:13}{C:14}({N:19}){C:15}({O:20}{C:21}3{O:22}{C:23}({C:30}({C:35}){O:31}){C:24}({O:29}){C:25}({O:28}){C:26}3{N:27}){C:16}2{O:17}){O:2}{C:3}{C:4}1({C:34}){O:9}
